"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0;0;0;0;0;0;0
0,4;1;0,013;0,001;0,012;0,00204897254887181;983
0;0;0;0;0;0;0
0,4;1;0,014;0,001;0,013;0,00204897038040399;981
0;0;0;0;0;0;0
0,4;1;0,016;0,001;0,015;0,0020489460384063;979
0;0;0;0;0;0;0
0,4;1;0,019;0,001;0,018;0,00204893157205021;977
0;0;0;0;0;0;0
0,4;1;0,019;0,001;0,018;0,00204891439876745;975
0;0;0;0;0;0;0
0,4;1;0,019;0,001;0,018;0,00204889955864688;973
0;0;0;0;0;0;0
0,4;1;0,019;0,001;0,018;0,00204888829849652;971
0;0;0;0;0;0;0
0,4;1;0,02;0,001;0,019;0,00204888296104797;969
0;0;0;0;0;0;0
0,4;1;0,027;0,004;0,023;0,00204886323008677;967
0;0;0;0;0;0;0
0,4;1;0,03;0,004;0,026;0,00204883922008831;965
0;0;0;0;0;0;0
0,4;1;0,034;0,005;0,029;0,00204882476300891;963
0;0;0;0;0;0;0
0,4;1;0,044;0,005;0,039;0,00204879399194548;961
0;0;0;0;0;0;0
0,4;1;0,047;0,006;0,041;0,00204873869406925;959
0;0;0;0;0;0;0
0,4;1;0,051;0,006;0,045;0,00204870387604107;957
0;0;0;0;0;0;0
0,4;1;0,051;0,006;0,045;0,00204867304267874;955
0;0;0;0;0;0;0
0,4;1;0,054;0,006;0,048;0,00204861450885836;953
0;0;0;0;0;0;0
0,4;1;0,054;0,006;0,048;0,00204855780510191;951
0;0;0;0;0;0;0
0,4;1;0,057;0,007;0,05;0,00204851970305702;949
0;0;0;0;0;0;0
0,4;1;0,061;0,009;0,052;0,00204848429122165;947
0;0;0;0;0;0;0
0,4;1;0,068;0,01;0,058;0,00204844031177052;945
0;0;0;0;0;0;0
0,4;1;0,073;0,01;0,063;0,00204838484480082;943
0;0;0;0;0;0;0
0,4;1;0,08;0,01;0,07;0,00204835815132004;941
0;0;0;0;0;0;0
0,4;1;0,08;0,01;0,07;0,00204833240277893;939
0;0;0;0;0;0;0
0,4;1;0,08;0,01;0,07;0,00204830643125211;937
0;0;0;0;0;0;0
0,4;1;0,081;0,01;0,071;0,00204828921925054;935
0;0;0;0;0;0;0
0,4;1;0,082;0,01;0,072;0,00204827453109139;933
0;0;0;0;0;0;0
0,4;1;0,095;0,01;0,085;0,00204826139465845;931
0;0;0;0;0;0;0
0,4;1;0,102;0,01;0,092;0,00204823470576703;929
0;0;0;0;0;0;0
0,4;1;0,103;0,011;0,092;0,00204820288651199;927
0;0;0;0;0;0;0
0,4;1;0,106;0,011;0,095;0,00204816818509422;925
0;0;0;0;0;0;0
0,4;1;0,108;0,013;0,095;0,00204812522599256;923
0;0;0;0;0;0;0
