"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,1;3;0,0172786177105832;0;0,0172786177105832;0,000281986842967638;132
0,1;3;0,0339702760084926;0,0106157112526539;0,0233545647558386;0,000247189608065881;133
0,1;3;0,0269709543568465;0;0,0269709543568465;0,000273659442628006;134
0,1;3;0,0888888888888889;0,00404040404040404;0,0848484848484849;0,00034207869495584;135
0,1;3;0,0353817504655493;0;0,0353817504655493;0,000303494137898829;136
0,1;3;0,0377697841726619;0;0,0377697841726619;0,000328949597958753;137
0,1;3;0,0173310225303293;0;0,0173310225303293;0,000265151962262484;138
0,1;3;0,0221465076660988;0;0,0221465076660988;0,000254511473900094;139
0,1;3;0,045;0;0,045;0,000256590452299179;140
0,1;3;0,0590111642743222;0;0,0590111642743222;0,00031197898986813;141
0,1;3;0,0843373493975904;0,00150602409638554;0,0828313253012048;0,000302073231526266;142
0,1;3;0,0375521557719054;0,00139082058414465;0,0361613351877608;0,00028787807363369;143
0,1;3;0,0577181208053691;0,00134228187919463;0,0563758389261745;0,000283904525184493;144
0,1;3;0,0457433290978399;0;0,0457433290978399;0,000289350661273417;145
0,1;3;0,105710814094775;0;0,105710814094775;0,000303337079299515;146
0,1;3;0,1;0;0,1;0,000302862645709981;147
0,1;3;0,038961038961039;0;0,038961038961039;0,000288930226659284;148
0,1;3;0,0846153846153846;0;0,0846153846153846;0,000341609089264048;149
0,1;3;0,0904255319148936;0,000886524822695035;0,0895390070921986;0,000321175998197551;150
0,1;3;0,0675345809601302;0,0016273393002441;0,0659072416598861;0,000334273670441881;151
0,1;3;0,0442748091603053;0;0,0442748091603053;0,000320591156788011;152
0,1;3;0,0533625730994152;0;0,0533625730994152;0,000351020234202769;153
0,1;3;0,0680083275503123;0;0,0680083275503123;0,000332134633361661;154
0,1;3;0,0545808966861598;0,00259909031838856;0,0519818063677713;0,00031574711349165;155
0,1;3;0,0815318097591106;0;0,0815318097591106;0,000348426957978177;156
0,1;3;0,0542547115933752;0,00171330668189606;0,0525414049114792;0,000349280635639787;157
0,1;3;0,0358111774281063;0,000542593597395551;0,0352685838307108;0,000299856848431941;158
0,1;3;0,0419287211740042;0;0,0419287211740042;0,000292736336443749;159
0,1;3;0,045271629778672;0;0,045271629778672;0,000295804662857349;160
0,1;3;0,0428296438883542;0;0,0428296438883542;0,000293351031845788;161
0,1;3;0,0323027226580526;0;0,0323027226580526;0,000276754927209896;162
0,1;3;0,0268216361198033;0;0,0268216361198033;0,000262565545155063;163
0,1;3;0,0317805833696125;0,00043535045711798;0,0313452329124946;0,000270580676962604;164
0,1;3;0,0586745462220346;0,000422119037568594;0,058252427184466;0,000295018747994294;165
0,1;3;0,0694056641404069;0,00159553250897487;0,067810131631432;0,00030798836276609;166
0,1;3;0,0724691819200598;0,000373552484124019;0,0720956294359358;0,000309000204803038;167
0,1;3;0,0480836236933798;0,000348432055749129;0,0477351916376307;0,00029574301564903;168
0,1;3;0,0991020951114067;0,00066511473229132;0,0984369803791154;0,000370373216208558;169
0,1;3;0,0877989706327581;0,00121102028458977;0,0865879503481683;0,000357620399949107;170
0,1;3;0,0657564781276122;0,00167177486765116;0,064084703259961;0,000323057675896707;171
0,1;3;0,0562974600680807;0,00104739460591778;0,0552500654621629;0,000332057845096646;172
0,1;3;0,0985111662531017;0,00297766749379653;0,0955334987593052;0,000356939866459252;173
0,1;3;0,0815402038505096;0,00181200453001133;0,0797281993204983;0,000345889066034922;174
0,1;3;0,0555905181455842;0,00146842878120411;0,0541220893643801;0,000312840650665852;175
0,1;3;0,04;0,00119402985074627;0,0388059701492537;0,000297875131978241;176
